Nombre,URL
Fresh,https://liquipedia.net/rainbowsix/Fresh
Froshii,https://liquipedia.net/rainbowsix/Froshii
Fuji3,https://liquipedia.net/rainbowsix/Fuji3
Fultz,https://liquipedia.net/rainbowsix/Fultz
FuriouSG,https://liquipedia.net/rainbowsix/FuriouSG
G2,https://liquipedia.net/rainbowsix/G2_Esports
GK,https://liquipedia.net/rainbowsix/Geekay_Esports
GMZ,https://liquipedia.net/rainbowsix/GMZ
GU1LZ,https://liquipedia.net/rainbowsix/GU1LZ
Gasher,https://liquipedia.net/rainbowsix/Gasher
Gaspro,https://liquipedia.net/rainbowsix/Gaspro
Gaveni,https://liquipedia.net/rainbowsix/Gaveni
GdNN1,https://liquipedia.net/rainbowsix/GdNN1
GeRe,https://liquipedia.net/rainbowsix/GeRe
Gemini,https://liquipedia.net/rainbowsix/Gemini
Geometrics,https://liquipedia.net/rainbowsix/Geometrics
Geoometrics,https://liquipedia.net/rainbowsix/Geoometrics
Geree,https://liquipedia.net/rainbowsix/Geree
Ghostie,https://liquipedia.net/rainbowsix/Ghostie_(UK)
GiG,https://liquipedia.net/rainbowsix/GiG
Gio,https://liquipedia.net/rainbowsix/Giovanni
Gity,https://liquipedia.net/rainbowsix/Gity
GodLeg1on,https://liquipedia.net/rainbowsix/GodLeg1on
Goddess,https://liquipedia.net/rainbowsix/Goddess
Goga,https://liquipedia.net/rainbowsix/Goga
Golden,https://liquipedia.net/rainbowsix/Golden
GoodBoy,https://liquipedia.net/rainbowsix/GoodBoy
Gordaime,https://liquipedia.net/rainbowsix/Gordaime
GorgoNa,https://liquipedia.net/rainbowsix/GorgoNa
Gotcha,https://liquipedia.net/rainbowsix/Gotcha
Gotti,https://liquipedia.net/rainbowsix/Gotti
Grant,https://liquipedia.net/rainbowsix/Grant
Grizzly,https://liquipedia.net/rainbowsix/Grizzly
Gruby,https://liquipedia.net/rainbowsix/Gruby
Gryxr,https://liquipedia.net/rainbowsix/Gryxr
Gsla,https://liquipedia.net/rainbowsix/Gsla
Guard,https://liquipedia.net/rainbowsix/Guard
